NeRF Dataset Check Report
Path: E:\LET_ME_COOK\Captone\NeRF_finetuning\All_data

================================================================================
SUMMARY
================================================================================
Total objects: 230
  - Excellent (>80 frames): 230
  - Good (51-80 frames): 0
  - Medium (11-50 frames): 0
  - Low (<=10 frames): 0
  - Issues (missing files): 0

================================================================================
DETAILED LIST (all objects):
================================================================================
Object Name               Images     Transforms   Status
--------------------------------------------------------------------------------
binh_gom_bt_56            180        180          ✅ EXCELLENT
binh_gom_bt_57            180        180          ✅ EXCELLENT
binh_gom_bt_58            180        180          ✅ EXCELLENT
binh_gom_bt_59            180        180          ✅ EXCELLENT
binh_gom_bt_6             180        180          ✅ EXCELLENT
binh_gom_bt_60            180        180          ✅ EXCELLENT
binh_gom_bt_61            180        180          ✅ EXCELLENT
binh_gom_bt_62            180        180          ✅ EXCELLENT
binh_gom_bt_63            180        180          ✅ EXCELLENT
binh_gom_bt_64            180        180          ✅ EXCELLENT
binh_gom_bt_65            180        180          ✅ EXCELLENT
binh_gom_bt_66            180        180          ✅ EXCELLENT
binh_gom_bt_67            180        180          ✅ EXCELLENT
binh_gom_bt_68            180        180          ✅ EXCELLENT
binh_gom_bt_69            180        180          ✅ EXCELLENT
binh_gom_bt_7             180        180          ✅ EXCELLENT
binh_gom_bt_70            180        180          ✅ EXCELLENT
binh_gom_bt_71            180        180          ✅ EXCELLENT
binh_gom_bt_72            180        180          ✅ EXCELLENT
binh_gom_bt_73            180        180          ✅ EXCELLENT
binh_gom_bt_74            180        180          ✅ EXCELLENT
binh_gom_bt_75            180        180          ✅ EXCELLENT
binh_gom_bt_76            180        180          ✅ EXCELLENT
binh_gom_bt_77            180        180          ✅ EXCELLENT
binh_gom_bt_78            180        180          ✅ EXCELLENT
binh_gom_bt_79            180        180          ✅ EXCELLENT
binh_gom_bt_8             180        180          ✅ EXCELLENT
binh_gom_bt_9             180        180          ✅ EXCELLENT
dia_7                     180        180          ✅ EXCELLENT
bat_gom_1                 180        181          ✅ EXCELLENT
bat_gom_10                180        181          ✅ EXCELLENT
bat_gom_11                180        181          ✅ EXCELLENT
bat_gom_12                180        181          ✅ EXCELLENT
bat_gom_13                180        181          ✅ EXCELLENT
bat_gom_14                180        181          ✅ EXCELLENT
bat_gom_15                180        181          ✅ EXCELLENT
bat_gom_2                 180        181          ✅ EXCELLENT
bat_gom_3                 180        181          ✅ EXCELLENT
bat_gom_4                 180        181          ✅ EXCELLENT
bat_gom_5                 180        181          ✅ EXCELLENT
bat_gom_6                 180        181          ✅ EXCELLENT
bat_gom_7                 180        181          ✅ EXCELLENT
bat_gom_8                 180        181          ✅ EXCELLENT
bat_gom_9                 180        181          ✅ EXCELLENT
binh_gom_1                180        181          ✅ EXCELLENT
binh_gom_10               180        181          ✅ EXCELLENT
binh_gom_11               180        181          ✅ EXCELLENT
binh_gom_13               180        181          ✅ EXCELLENT
binh_gom_15               180        181          ✅ EXCELLENT
binh_gom_16               180        181          ✅ EXCELLENT
binh_gom_18               180        181          ✅ EXCELLENT
binh_gom_19               180        181          ✅ EXCELLENT
binh_gom_2                180        181          ✅ EXCELLENT
binh_gom_20               180        181          ✅ EXCELLENT
binh_gom_21               180        181          ✅ EXCELLENT
binh_gom_22               180        181          ✅ EXCELLENT
binh_gom_23               180        181          ✅ EXCELLENT
binh_gom_24               180        181          ✅ EXCELLENT
binh_gom_25               180        181          ✅ EXCELLENT
binh_gom_26               180        181          ✅ EXCELLENT
binh_gom_27               180        181          ✅ EXCELLENT
binh_gom_28               180        181          ✅ EXCELLENT
binh_gom_29               180        181          ✅ EXCELLENT
binh_gom_3                180        181          ✅ EXCELLENT
binh_gom_30               180        181          ✅ EXCELLENT
binh_gom_31               180        181          ✅ EXCELLENT
binh_gom_32               180        181          ✅ EXCELLENT
binh_gom_33               180        181          ✅ EXCELLENT
binh_gom_34               180        181          ✅ EXCELLENT
binh_gom_35               180        181          ✅ EXCELLENT
binh_gom_36               180        181          ✅ EXCELLENT
binh_gom_37               180        181          ✅ EXCELLENT
binh_gom_38               180        181          ✅ EXCELLENT
binh_gom_39               180        181          ✅ EXCELLENT
binh_gom_4                180        181          ✅ EXCELLENT
binh_gom_40               180        181          ✅ EXCELLENT
binh_gom_41               180        181          ✅ EXCELLENT
binh_gom_42               180        181          ✅ EXCELLENT
binh_gom_43               180        181          ✅ EXCELLENT
binh_gom_44               180        181          ✅ EXCELLENT
binh_gom_45               180        181          ✅ EXCELLENT
binh_gom_46               180        181          ✅ EXCELLENT
binh_gom_47               180        181          ✅ EXCELLENT
binh_gom_48               180        181          ✅ EXCELLENT
binh_gom_49               180        181          ✅ EXCELLENT
binh_gom_5                180        181          ✅ EXCELLENT
binh_gom_50               180        181          ✅ EXCELLENT
binh_gom_51               180        181          ✅ EXCELLENT
binh_gom_52               180        181          ✅ EXCELLENT
binh_gom_53               180        181          ✅ EXCELLENT
binh_gom_6                180        181          ✅ EXCELLENT
binh_gom_7                180        181          ✅ EXCELLENT
binh_gom_8                180        181          ✅ EXCELLENT
binh_gom_84               180        181          ✅ EXCELLENT
binh_gom_9                180        181          ✅ EXCELLENT
binh_gom_bt_28            180        181          ✅ EXCELLENT
binh_gom_bt_39            180        181          ✅ EXCELLENT
chen_gom_1                180        181          ✅ EXCELLENT
chen_gom_2                180        181          ✅ EXCELLENT
chen_gom_3                180        181          ✅ EXCELLENT
chen_gom_4                180        181          ✅ EXCELLENT
chen_gom_5                180        181          ✅ EXCELLENT
chen_gom_6                180        181          ✅ EXCELLENT
chen_gom_7                180        181          ✅ EXCELLENT
chen_gom_8                180        181          ✅ EXCELLENT
dia_1                     180        181          ✅ EXCELLENT
dia_2                     180        181          ✅ EXCELLENT
dia_3                     180        181          ✅ EXCELLENT
dia_4                     180        181          ✅ EXCELLENT
dia_5                     180        181          ✅ EXCELLENT
dia_6                     180        181          ✅ EXCELLENT
ly_dong_1                 180        181          ✅ EXCELLENT
